6 | VERIFIED_VERBATIM |  | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | terminology consistency (edition-specific bans) | Wizards of the Coast, D&D Style Guide v1.04a | Q=We have abandoned that practice. | TW=We have abandoned that practice. | CLAIM=5e abandoned the 3E/4E use of 'result' for the number rolled and 4E's 'save' for a successful saving throw; 'magic item' never 'magical item'; 'deals 10 fire damage' not 'points of damage'; 'hit point maximum' not 'maximum hit points'. | NOTE=The sentence appears twice, verbatim, once for each abandonment: under 'Saving Throws' ('In 4E, we used "save" as a synonym for "successful saving throw." We have abandoned that practice.') and under 
1106 | VERIFIED_VERBATIM |  | place-editorial-staff | paizo.com | verdicts-dnd-i1091-1112.json | point of view and distance | Dragon Writers Guidelines (Dragon editorial staff), Format and Style | Q=we will not publish an article written in the first person | TW=we will not publish an article written in the first person | CLAIM=The Dragon editorial staff state that they will not publish an article written in the first person. | NOTE=Live HTML fetched with a browser user agent (HTTP 200). Under the 'Format and Style' heading, verbatim, preceded by 'Note that'. The following sentences forbid 'I' or 'my' unless spoken by a character
1107 | VERIFIED_VERBATIM |  | place-editorial-staff | paizo.com | verdicts-dnd-i1091-1112.json | opening sentence | Dragon Writers Guidelines (Dragon editorial staff), Format and Style | Q=no more than 200 words long | TW=it should be no more than 200 words long | CLAIM=The Dragon guidelines cap an article's opening narrative vignette or example dialogue at 200 words. | NOTE=Format and Style: 'If your article begins with a narrative vignette or piece of example dialog, it should be no more than 200 words long.' Quote verbatim; both limbs of the claim (narrative vignette, 
1108 | VERIFIED_VERBATIM |  | place-editorial-staff | paizo.com | verdicts-dnd-i1056-1130.json | other: measured length | Dragon Writers Guidelines (Dragon editorial staff), Format and Style | Q=A full page of text in Dragon contains about 750 words. | TW=A full page of text in Dragon contains about 750 words. | CLAIM=The Dragon guidelines state that a full page of text in the magazine contains about 750 words. | NOTE=Live paizo.com/writersguidelines/dragon.html fetched 200 (raw HTML). Sentence stands alone under the 'Format and Style' heading, exactly as cited. Eleven words, within the twelve-word cap.
1109 | VERIFIED_VERBATIM |  | place-editorial-staff | paizo.com | verdicts-dnd-i1091-1112.json | terminology consistency | Dragon Writers Guidelines (Dragon editorial staff), Format and Style | Q=should use the current style of D&D game | TW=Article manuscripts should use the current style of D&D game products | CLAIM=The Dragon guidelines require article manuscripts to use the current style of D&D game products, italicising magic item and spell names and capitalising feat names. | NOTE=Format and Style, first paragraph. Quote verbatim, and the very next sentence supplies both remaining limbs: names of magic items and spells should be italicized, and feat names should be capitalized.
1111 | VERIFIED_VERBATIM |  | place-editorial-staff | chrisssims.wordpress.com | verdicts-dnd-i1091-1112.json | adjective and adverb discipline | Chris S. Sims, Writing: Generalizations and Absolutes, 2020 | Q=words such as generally, typically, and similar weasels | TW=words such as generally, typically, and similar weasels | CLAIM=Sims names generally and typically among the weasel words he objects to. | NOTE=Footnote 3 of the same post, verbatim: he has 'a thing against' such words, calling them long and slippery enough to resemble their namesake. Supports both named examples and the objection.
1112 | VERIFIED_VERBATIM |  | place-editorial-staff | chrisssims.wordpress.com | verdicts-dnd-i1091-1112.json | adjective and adverb discipline | Chris S. Sims, Writing: Generalizations and Absolutes, 2020 | Q=yet to see a superlative that was necessary for the | TW=yet to see a superlative that was necessary for the fiction | CLAIM=Sims says he has yet to see a superlative that was necessary for the fiction or mechanic in which it appeared. | NOTE=Under 'Superlatives or Absolutisms', verbatim: 'I've yet to see a superlative that was necessary for the fiction or mechanic in which the absolute appears.' Only divergence is the closing noun -- the 
1113 | VERIFIED_VERBATIM |  | place-editorial-staff | chrisssims.wordpress.com | verdicts-dnd-i1056-1130.json | other: absolutes and canon | Chris S. Sims, Writing: Generalizations and Absolutes, 2020 | Q=Absolutist statements are, instead, editorial nightmares. | TW=Absolutist statements are, instead, editorial nightmares. | CLAIM=Sims calls absolutist statements editorial nightmares because they paint later creation in a shared setting into a corner. | NOTE=Live chrisssims.wordpress.com fetched 200 (raw HTML). Closing sentence of a paragraph under 'Superlatives or Absolutisms'; the same paragraph supplies the causal limb, saying that in a shared universe
1114 | VERIFIED_VERBATIM |  | place-editorial-staff | chrisssims.wordpress.com | verdicts-dnd-i1056-1130.json | other: homogenisation | Chris S. Sims, Writing: Generalizations and Absolutes, 2020 | Q=I call this problem the “flat-culture issue.” | TW=I call this problem the “flat-culture issue.” | CLAIM=Sims names the flat-culture issue: imaginary peoples written as homogeneous, which he says even Eberron's reimagining fails to escape. | NOTE=Same raw page. Under the 'Generalizations' heading; the preceding clause names the problem as homogeny among imaginary people, and the next sentences credit Eberron's sophisticated takes but say it fa
1115 | VERIFIED_VERBATIM |  | place-editorial-staff | chrisssims.wordpress.com | verdicts-dnd-i1115-1131.json | concrete sensory noun | Chris S. Sims, Writing: Generalizations and Absolutes, 2020 | Q=more examples are better than hedged generalizations | TW=more examples are better than hedged generalizations | CLAIM=Sims holds that more examples are better than hedged generalizations when writing a species or culture for a game. | NOTE=Raw page fetched (chrisssims.wordpress.com, HTTP 200). Quote appears word for word in the 'Generalizations' section, in the paragraph explicitly about writing a description of a species for a game; th
1116 | VERIFIED_VERBATIM |  | place-editorial-staff | chrisssims.wordpress.com | verdicts-dnd-i1115-1131.json | edition and house style | Chris S. Sims, Writing: Generalizations and Absolutes, 2020 | Q=leaving a lot of words doing little work | TW=leaving a lot of words doing little work | CLAIM=Sims cites the 5e Player's Handbook half-orc passage as superlatives hedged into words doing little work. | NOTE=Raw page. In 'Superlatives or Absolutisms': the sentence about hedged superlatives leads directly into the block-quoted 5e Player's Handbook half-orc passage, which the raw text carries in full. All l
1117 | VERIFIED_VERBATIM |  | place-editorial-staff | chrisssims.wordpress.com | verdicts-dnd-i1115-1131.json | edition and house style | Chris S. Sims, Writing: Generalizations and Absolutes, 2020 | Q=Among them is the great Kim Mohan | TW=Among them is the great Kim Mohan | CLAIM=Sims names Kim Mohan among the mentors who taught him about generalizations, hedging and superlatives. | NOTE=Raw page, opening paragraph. Sims's topic sentence names generalizations, hedging and superlatives, then thanks mentors and colleagues who freed him from those habits, Mohan named among them as having
1118 | VERIFIED_VERBATIM |  | place-editorial-staff | alphastream.org | verdicts-dnd-i1115-1131.json | boxed text form | Teos Abadia (Alphastream), The Best and Worst of Adventure Formats at Winter Fantasy 2020 | Q=moving away from boxed text and separating information into specific | TW=moving away from boxed text and separating information into specific headings | CLAIM=Teos Abadia records that Season 8 of the D&D Adventurers League moved away from boxed text and separated the information into specific headings. | NOTE=Raw page fetched (alphastream.org, HTTP 200). 'Season 8 Changes' section; the page frames it as Season 8 AL leaning heavily into that idea, the reason given being that DMs could find and use informati
1119 | VERIFIED_VERBATIM |  | place-editorial-staff | alphastream.org | verdicts-dnd-i1115-1131.json | dm-facing sentence | Teos Abadia (Alphastream), The Best and Worst of Adventure Formats at Winter Fantasy 2020 | Q=Season 8 required that authors use the format. | TW=Season 8 required that authors use the format. | CLAIM=Abadia records that Season 8 required its authors to use the heading-based format. | NOTE=Raw page, 'Season 8 Changes', immediately after the description of the heading-driven format (Call to Action, Playing the Pillars, flowchart), so 'the format' is the heading-based one. The page adds t
1120 | VERIFIED_VERBATIM |  | place-editorial-staff | alphastream.org | verdicts-dnd-i1115-1131.json | place and institution description | Teos Abadia (Alphastream), The Best and Worst of Adventure Formats at Winter Fantasy 2020 | Q=The information is spread out. | TW=The information is spread out; You must read both places | CLAIM=Abadia argues the Season 8 format broke a single place description across several headings so that the door's appearance had to be assembled from two sections. | NOTE=Raw page, the MOON12-02 talking-door example. The page states that multiple required headings force the author to break up information that belongs in one place, that the door description sits under '
1121 | VERIFIED_VERBATIM |  | place-editorial-staff | alphastream.org | verdicts-dnd-i1115-1131.json | dm-facing sentence | Teos Abadia (Alphastream), The Best and Worst of Adventure Formats at Winter Fantasy 2020 | Q=actively obfuscates the content and makes the adventure harder to | TW=actively obfuscates the content and makes the adventure harder to run | CLAIM=Abadia's verdict is that the Season 8 format actively obfuscates the content and makes the adventure harder to run at the table. | NOTE=Raw page, closing sentence of the Season 8 discussion. The page's wording is 'harder to run well at the table'; the claim's 'harder to run at the table' is the same verdict.
1123 | VERIFIED_VERBATIM |  | place-editorial-staff | mimir.net | verdicts-dnd-i1115-1131.json | register modulation | Christopher Perkins, interviewed at Planescape: I am the Mimir, 1999 | Q=does not embrace the narrative style of most PLANESCAPE | TW=does not embrace the narrative style of most PLANESCAPE products | CLAIM=Christopher Perkins, then editor of DUNGEON Adventures, says Warriors of Heaven does not embrace the narrative style of most Planescape products because it is a core AD&D product. | NOTE=Raw page fetched (mimir.net, HTTP 200). Answer to 'From what perspective is the product written?'. The page joins the two limbs with 'and' rather than 'because', but the causal reading is the page's o
1124 | VERIFIED_VERBATIM |  | place-editorial-staff | mimir.net | verdicts-dnd-i1056-1130.json | per-speaker register | Christopher Perkins, interviewed at Planescape: I am the Mimir, 1999 | Q=The cant is mostly absent | TW=The cant is mostly absent | CLAIM=Perkins says the Planescape cant is mostly absent from Warriors of Heaven, apart from an occasional slang word he slipped past the editors. | NOTE=Live mimir.net fetched 200 (raw HTML). Perkins's answer on how the product is written: Warriors of Heaven is a core AD&D product not embracing most Planescape products' narrative style; the quoted cla
1125 | VERIFIED_VERBATIM |  | place-editorial-staff | mimir.net | verdicts-dnd-i1115-1131.json | plainness and economy | Christopher Perkins, interviewed at Planescape: I am the Mimir, 1999 | Q=I almost always overwrite | TW=I almost always overwrite | CLAIM=Perkins says that anyone who has edited his work knows he almost always overwrites. | NOTE=Raw page, answer to how the supplement grew from 64 to 96 pages. Perkins prefaces it by saying anyone who has edited his work knows this, then explains he had all but exhausted his word count.
1126 | VERIFIED_VERBATIM |  | place-editorial-staff | mimir.net | verdicts-dnd-i1115-1131.json | place and institution description | Christopher Perkins, interviewed at Planescape: I am the Mimir, 1999 | Q=an adventure set in Sigil has an entirely different | TW=an adventure set in Sigil has an entirely different feel | CLAIM=Perkins says an adventure set in Sigil has an entirely different feel from one set in the Abyss, and that he values describing places that could exist nowhere else. | NOTE=Raw page, answer on what attracts him to PLANESCAPE. The same answer carries the second limb: as a designer he enjoys the chance to describe places that could exist nowhere else. Page prints 'feel' in
1127 | VERIFIED_VERBATIM |  | place-editorial-staff | mimir.net | verdicts-dnd-i1115-1131.json | register modulation | Christopher Perkins, interviewed at Planescape: I am the Mimir, 1999 | Q=The voice and design of the campaign setting was daring | TW=The voice and design of the campaign setting was daring | CLAIM=Perkins says the voice and design of the Planescape campaign setting were daring and striking in their originality. | NOTE=Raw page, answer on how he got involved with the PLANESCAPE line. Preceded by his being blown away by the PLANESCAPE Campaign Setting boxed set, so 'the campaign setting' is Planescape; page continues
1128 | VERIFIED_VERBATIM |  | place-editorial-staff | grognardia.blogspot.com | verdicts-dnd-i1115-1131.json | plainness and economy | Steve Winter, TSR editor, interviewed at Grognardia, 2009 | Q=the language needs to be direct and clear | TW=the language needs to be direct and clear | CLAIM=Steve Winter, TSR's first hire with professional editing experience, says that in games as in journalism the language needs to be direct and clear. | NOTE=Raw page fetched (grognardia.blogspot.com, HTTP 200, dated 8 August 2009). The quote closes the answer that begins with journalists being trained for clarity and directness, applying the same to games
1129 | VERIFIED_VERBATIM |  | place-editorial-staff | grognardia.blogspot.com | verdicts-dnd-i1115-1131.json | adjective and adverb discipline | Steve Winter, TSR editor, interviewed at Grognardia, 2009 | Q=Flowery phrases and clever wordplay are things to avoid | TW=Flowery phrases and clever wordplay are things to avoid | CLAIM=Winter says flowery phrases and clever wordplay are things journalists avoid, and that the same holds in games. | NOTE=Raw page, same answer as 1128: the sentence follows the statement that journalists are trained to write for clarity and directness, and is followed by 'The same is true in games'. Locator is answer 2,
1130 | VERIFIED_VERBATIM |  | place-editorial-staff | grognardia.blogspot.com | verdicts-dnd-i1056-1130.json | other: editorial process | Steve Winter, TSR editor, interviewed at Grognardia, 2009 | Q=an editor took over and managed everything about the manuscript | TW=an editor took over and managed everything about the manuscript | CLAIM=Winter says that at TSR the editor took the manuscript over from the designer and managed everything about it thereafter, including development, layout, art orders and proofreading. | NOTE=Live grognardia.blogspot.com fetched 200 (raw HTML). Winter's answer to question 4 on editing at TSR: the designer wrote the original manuscript, then this, 'from that point on' with the parenthetical
1131 | VERIFIED_VERBATIM |  | place-editorial-staff | archive.org | verdicts-dnd-i1115-1131.json | edition and house style | Waterdeep: Dragon Heist (Wizards of the Coast, 2018), credits page, read through the Inter | Q=Editors: Michele Carter Scott Fitzgerald Cray, Kim Mohan | TW=Editors: Michele Carter Scott Fitzgerald Cray, Kim Mohan | CLAIM=Waterdeep: Dragon Heist, the 2018 city adventure, credits Michele Carter, Scott Fitzgerald Gray and Kim Mohan as its editors. | NOTE=Raw archive.org full-text page fetched (HTTP 200, 1.19MB) and the OCR credits block read directly. Match is exact once the OCR's doubled spaces are collapsed; the OCR renders Gray as 'Cray'. Same page
1132 | VERIFIED_VERBATIM |  | place-editorial-staff | archive.org | verdicts-dnd-i1132-1146.json | edition and house style | Waterdeep: Dragon Heist (Wizards of the Coast, 2018), credits page, read through the Inter | Q=Managing Editor: Jeremy Crawford | TW=Managing Editor: Jeremy Crawford | CLAIM=Jeremy Crawford is credited as managing editor of Waterdeep: Dragon Heist. | NOTE=archive.org OCR full text of wdh, credits block under the WATERDEEP DRAGON HEIST title; OCR renders it with doubled spaces ('Managing Editor: Jeremy Crawford'), otherwise word for word. Same credits b
1133 | VERIFIED_VERBATIM |  | place-editorial-staff | web.archive.org | verdicts-dnd-i1132-1146.json | edition and house style | Dungeon Masters Guild, DMs Guild Creator Resource - Style Guide Resources product page | Q=distributed by Wizards of the Coast to official play writers | TW=distributed by Wizards of the Coast to official play writers | CLAIM=The DMs Guild describes the style-guide package as PDF documents distributed by Wizards of the Coast to official play writers. | NOTE=Wayback raw capture 20240423102657id_ of dmsguild.com/product/267467. Product description sentence begins 'These PDF documents are distributed by Wizards of the Coast to official play writers and are 
1134 | VERIFIED_VERBATIM |  | place-editorial-staff | web.archive.org | verdicts-dnd-i1132-1146.json | edition and house style | Dungeon Masters Guild, DMs Guild Creator Resource - Style Guide Resources product page | Q=The House Style Guide has been updated January 2019. | TW=The House Style Guide has been updated January 2019. | CLAIM=The DMs Guild product page dates the House Style Guide's update to January 2019. | NOTE=Same Wayback capture; the line sits at the head of the description prefixed 'Note:'. Page's own File Last Updated field reads February 22, 2019, which does not contradict the January 2019 update note 
1136 | VERIFIED_VERBATIM |  | place-editorial-staff | web.archive.org | verdicts-dnd-i1132-1146.json | edition and house style | Dungeon Masters Guild, DMs Guild Creator Resource - Style Guide Resources product page | Q=Following these style guides is not required to publish on | TW=Following these style guides is not required to publish on | CLAIM=The DMs Guild states that following the style guides is not required to publish on the platform. | NOTE=Same Wayback capture; the sentence continues 'DMsGuild, but they are provided here at the request of our community creators.' 'the platform' in the claim is DMsGuild, named on the page.
1138 | VERIFIED_VERBATIM |  | place-editorial-staff | cyborgsandmages.wordpress.com | verdicts-dnd-i1132-1146.json | plainness and economy | Chris Perkins and Greg Bilsland, Writing Adventures, General Principles 7 | Q=present information as concisely as possible, to ease the burden | TW=present information as concisely as possible, to ease the burden | CLAIM=Perkins and Bilsland tell adventure writers to present information as concisely as possible to ease the burden on the DM. | NOTE=General Principles item 7 opens 'An adventure should strive to present information as concisely as possible, to ease the burden on the DM.' Quote verbatim; the DM limb is on the page.
1139 | VERIFIED_VERBATIM |  | place-editorial-staff | cyborgsandmages.wordpress.com | verdicts-dnd-i1132-1146.json | concrete sensory noun | Chris Perkins and Greg Bilsland, Writing Adventures, General Principles 7 | Q=namely NPCs, dungeon dressings, and treasure hoards | TW=namely NPCs, dungeon dressings, and treasure hoards | CLAIM=Perkins and Bilsland name NPCs, dungeon dressings and treasure hoards as the elements that deserve descriptive text despite the concision rule. | NOTE=Item 7 continues 'However, there are certain elements of an adventure that deserve special attention, namely NPCs, dungeon dressings, and treasure hoards.' The page's own words are 'deserve special at
1140 | VERIFIED_VERBATIM |  | place-editorial-staff | cyborgsandmages.wordpress.com | verdicts-dnd-i1132-1146.json | naming and forms of address | Chris Perkins and Greg Bilsland, Writing Adventures, General Principles 7 | Q=distinctive physical features, mannerisms, and quirks | TW=distinctive physical features, mannerisms, and quirks | CLAIM=Perkins and Bilsland say character is added to an NPC by describing distinctive physical features, mannerisms and quirks. | NOTE=Item 7: 'You can add character to any NPC by describing his or her distinctive physical features, mannerisms, and quirks (which the DM can then use to roleplay the NPC effectively).' Every limb presen
1141 | VERIFIED_VERBATIM |  | place-editorial-staff | cyborgsandmages.wordpress.com | verdicts-dnd-i1132-1146.json | withheld information and inference | Chris Perkins and Greg Bilsland, Writing Adventures, General Principles 6 | Q=The goal isn’t to keep the DM in suspense | TW=The goal isn't to keep the DM in suspense | CLAIM=Perkins and Bilsland rule that the text must not keep the DM in suspense, and must not conceal or bury information the DM needs. | NOTE=General Principles item 6, with the curly apostrophe as quoted. Same item carries the second limb: 'the adventure shouldn't conceal or bury important information that the DM needs to understand what's
1142 | VERIFIED_VERBATIM |  | place-editorial-staff | cyborgsandmages.wordpress.com | verdicts-dnd-i1132-1146.json | dm-facing sentence | Chris Perkins and Greg Bilsland, Writing Adventures, General Principles 6 | Q=make sure that an NPC is properly introduced before casually | TW=make sure that an NPC is properly introduced before casually | CLAIM=Perkins and Bilsland require that an NPC be properly introduced before the text mentions that NPC by name in passing. | NOTE=Item 6 continues '...mentioning the NPC by name in running text', which is the claim's 'by name in passing'. The rule is framed as an example of presenting information in a logical order.
1143 | VERIFIED_VERBATIM |  | place-editorial-staff | cyborgsandmages.wordpress.com | verdicts-dnd-i1132-1146.json | annalist voice and deep time | Chris Perkins and Greg Bilsland, Writing Adventures, General Principles 4 | Q=An adventure is about the here and now. | TW=An adventure is about the here and now. | CLAIM=Perkins and Bilsland hold that an adventure is about the here and now, and that the less history it carries the better. | NOTE=General Principles item 4; the next sentence supplies the history limb - a little history may set things up, 'but the less of it, the better.'
1144 | VERIFIED_VERBATIM |  | place-editorial-staff | cyborgsandmages.wordpress.com | verdicts-dnd-i1132-1146.json | edition and house style | Chris Perkins and Greg Bilsland, Writing Adventures, closing line | Q=The Chicago Manual of Style (16th edition) and the | TW=The Chicago Manual of Style (16th edition) and the | CLAIM=The Perkins and Bilsland guide sends writers to the Chicago Manual of Style, 16th edition, and to the D&D House Style Guide for grammar and punctuation. | NOTE=Closing line: 'For rules on grammar and punctuation, please see The Chicago Manual of Style (16th edition) and the D&D House Style Guide. For adventure format, refer to the Adventure Format Template.'
1145 | VERIFIED_VERBATIM |  | place-editorial-staff | mimir.net | verdicts-dnd-i1132-1146.json | plainness and economy | Ray Vallese, TSR Planescape editor, interviewed at Planescape: I am the Mimir, 1999 | Q=communicating the basic info and less on dazzling the audience | TW=communicating the basic info and less on dazzling the audience | CLAIM=Ray Vallese says RPG supplements are supposed to focus on communicating the basic information rather than dazzling the audience with clever prose. | NOTE=mimir.net fetched live, HTTP 200; page title 'An Interview with Ray and Val Vallese - Planescape: I am the Mimir', Gen Con '99 framing. The passage answers the question 'Ray, how did writing this book
1146 | VERIFIED_VERBATIM |  | place-editorial-staff | mimir.net | verdicts-dnd-i1132-1146.json | register modulation | Ray Vallese, TSR Planescape editor, interviewed at Planescape: I am the Mimir, 1999 | Q=purchased PS products just to read them | TW=purchased PS products just to read them | CLAIM=Vallese qualifies that rule for the Planescape line, saying many people have remarked they bought Planescape products just to read them. | NOTE=Same Ray Vallese answer, parenthetical immediately after the supplements rule: 'Granted, that's not entirely true for the PS line, as many people have remarked that they've purchased PS products just 
1148 | VERIFIED_VERBATIM |  | place-srd-measure | screenrant.com | verdicts-dnd-i1148-1149.json | boxed text form | James Wyatt, quoted by Ben Brosofsky, ScreenRant interview with Christopher Perkins and Ja | Q=Now the DMG tells you what boxed text is | TW=Now the DMG tells you what boxed text is | CLAIM=James Wyatt says the 2024 Dungeon Master’s Guide now defines boxed text, so published adventures need not keep doing so. | NOTE=Raw HTML fetched with a browser UA (200, 54,703 bytes); no summarizer needed for the match. The quoted string appears word for word in James Wyatt's answer in the section on DMG chapters (the doors/bo
1149 | VERIFIED_VERBATIM |  | place-srd-measure | dmsworkshop.com | verdicts-dnd-i1148-1149.json | boxed text form | The Archmage, "Dungeon Mastering 101: Mastering the Boxed Text", Dungeon Master’s Workshop | Q=ever since boxed text was introduced in The Hidden Shrine of Tamoachan | TW=boxed text was introduced in The Hidden Shrine of Tamoachan (1979) | CLAIM=Dungeon Master’s Workshop dates the introduction of boxed text to the 1979 module The Hidden Shrine of Tamoachan, written so that competing tables received identical room descriptions. | NOTE=Raw HTML fetched with a browser UA (200, 209,736 bytes). The quoted string appears word for word, immediately followed by the parenthetical year, in the paragraph on the pro/anti boxed-text debate. Ev
1153 | VERIFIED_VERBATIM |  | place-lawful-primaries | media.dndbeyond.com | verdicts-dnd-i1153-1167.json | place and institution description | Wizards of the Coast, Settlement Tracker handout, 2024 Dungeon Master's Guide | Q=VILLAGE (POP. UP TO 500) | TW=“VILLAGE (POP. UP TO 500)” | CLAIM=Wizards of the Coast's own 2024 settlement handout bands settlement size by population, with a village at up to 500 people. | NOTE=Raw PDF pulled by curl (HTTP 200, 5.3 MB) and extracted with pdftotext -layout. The size checkbox row carries all three bands; footer reads TM & © 2024 Wizards of the Coast LLC, and the page is a phot
1154 | VERIFIED_VERBATIM |  | place-lawful-primaries | media.dndbeyond.com | verdicts-dnd-i1153-1167.json | place and institution description | Wizards of the Coast, Settlement Tracker handout, 2024 Dungeon Master's Guide | Q=TOWN (POP. 501–5,000) | TW=“TOWN (POP. 501–5,000)” | CLAIM=The same 2024 handout sets the town band at a population of 501 to 5,000. | NOTE=Same raw PDF text; second checkbox of the size row, en dash as quoted. Exact string match.
1155 | VERIFIED_VERBATIM |  | place-lawful-primaries | media.dndbeyond.com | verdicts-dnd-i1153-1167.json | place and institution description | Wizards of the Coast, Settlement Tracker handout, 2024 Dungeon Master's Guide | Q=CITY (POP. 5,001+) | TW=“CITY (POP. 5,001+)” | CLAIM=The same 2024 handout sets the city band at a population of 5,001 or more. | NOTE=Same raw PDF text; third checkbox of the size row. Exact string match.
1157 | VERIFIED_VERBATIM |  | place-lawful-primaries | media.dndbeyond.com | verdicts-dnd-i1153-1167.json | place and institution description | Wizards of the Coast, Settlement Tracker handout, 2024 Dungeon Master's Guide | Q=CLAIM TO FAME | TW=“CLAIM TO FAME” | CLAIM=The publisher's settlement slot list carries a slot labelled Claim to Fame. | NOTE=Same raw PDF text; the boxed field immediately below DEFINING TRAIT. Claim asserts only that the slot exists and is so labelled — supported.
1158 | VERIFIED_VERBATIM |  | place-lawful-primaries | media.dndbeyond.com | verdicts-dnd-i1153-1167.json | place and institution description | Wizards of the Coast, Settlement Tracker handout, 2024 Dungeon Master's Guide | Q=LOCAL LEADER | TW=“LOCAL LEADER” | CLAIM=The publisher's settlement slot list carries a single leadership slot labelled Local Leader. | NOTE=Same raw PDF text; fourth boxed field (after CURRENT CALAMITY). It is the only leadership-labelled slot on the sheet — the other fields are DEFINING TRAIT, CLAIM TO FAME, CURRENT CALAMITY, NOTEWORTHY 
1159 | VERIFIED_VERBATIM |  | place-lawful-primaries | media.dndbeyond.com | verdicts-dnd-i1153-1167.json | place and institution description | Wizards of the Coast, Settlement Tracker handout, 2024 Dungeon Master's Guide | Q=NOTEWORTHY PLACES | TW=“NOTEWORTHY PLACES” | CLAIM=The publisher's settlement handout keeps a list slot for the settlement's noteworthy places, separate from its people. | NOTE=Same raw PDF text; a seven-line list column headed NOTEWORTHY PLACES sits beside a separate seven-line NOTEWORTHY PEOPLE column, so both the list-slot limb and the separation limb are on the page.
1160 | VERIFIED_VERBATIM |  | place-lawful-primaries | media.dndbeyond.com | verdicts-dnd-i1153-1167.json | place and institution description | Wizards of the Coast, Settlement Tracker handout, 2024 Dungeon Master's Guide | Q=GP VALUE OF THE MOST EXPENSIVE ITEM FOR SALE | TW=“GP VALUE OF THE MOST EXPENSIVE ITEM FOR SALE” | CLAIM=The only economic figure the publisher's settlement handout asks a DM to record is the gp value of the most expensive item for sale. | NOTE=Same raw PDF text; the footer field above the copyright line. The whole sheet was read: the only other numerals are the population bands (demographic, not economic), so 'the only economic figure' hold
1163 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1153-1167.json | place and institution description | Mike Bernier, 'What's New in the 2024 Dungeon Master's Guide?', D&D Beyond, 12 Nov 2024 | Q=creating NPCs and building settlements | TW=“provide a template for creating NPCs and building settlements” | CLAIM=D&D Beyond's own launch article says the 2024 Dungeon Master's Guide's handouts serve as a template for building settlements. | NOTE=Raw HTML pulled by curl with a browser UA (HTTP 200, 323 KB), tags stripped locally — no summarizer. Byline 'by Mike Bernier', dated Nov 12, 2024 (launch day: the page carries 'The 2024 Dungeon Master
1164 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1153-1167.json | edition and house style | DND Staff, 'Updates in the Dungeon Master's Guide (2024)', D&D Beyond, 20 Feb 2025 | Q=it replaces all rules in the 2014 version of the book | TW=“it replaces all rules in the 2014 version of the book” | CLAIM=Wizards of the Coast states that the 2024 Dungeon Master's Guide replaces all rules in the 2014 version of the book. | NOTE=Raw HTML by curl with browser UA (HTTP 200, 270 KB), tags stripped locally. Under heading 'Using This Book with Older Books': 'When you play D&D with the Dungeon Master's Guide (2024), it replaces all
1166 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1153-1167.json | terminology consistency | Wizards of the Coast / D&D Beyond, 'Encounter of the Week: Snowed In', 2020 | Q=Icehaven is a village of 5,000 souls | TW=“Icehaven is a village of 5,000 souls” | CLAIM=The same official column calls Icehaven a village while giving it a population of 5,000, a figure the publisher's own 2024 settlement handout places in the town band. | NOTE=Same raw article; the section heading is literally 'The Village of Icehaven'. The band limb is checked against the other raw source in this chunk: the 2024 Settlement Tracker's middle checkbox reads T
1167 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1153-1167.json | naming and forms of address | Wizards of the Coast / D&D Beyond, 'Encounter of the Week: Snowed In', 2020 | Q=The leader of the village, Starosta Ernath Noack | TW=“The leader of the village, Starosta Ernath Noack” | CLAIM=The same column names a settlement's leader as office title plus given name plus surname, in that order. | NOTE=Same raw article, under the heading 'Arrival of the Infected One' as the claim's page note says. Order is office title (starosta, the Dwendalian village-elder office — the page also uses 'Starosta of 
1168 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1168-1182.json | concrete sensory noun | Wizards of the Coast / D&D Beyond, 'Encounter of the Week: Snowed In', 2020 | Q=mostly made up of steep-roofed cottages, separated by twisting streets | TW=mostly made up of steep-roofed cottages, separated by twisting streets | CLAIM=The arrival read-aloud describes the village through its housing stock and street pattern rather than through its inhabitants. | NOTE=Raw page fetched with a browser UA (HTTP 200). Quote is strict-exact in the arrival read-aloud introduced by 'When the characters arrive in Icehaven, read or paraphrase the following:'. The whole read
1169 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1168-1182.json | place and institution description | Wizards of the Coast / D&D Beyond, 'Encounter of the Week: Snowed In', 2020 | Q=The following areas in Icehaven are important to this encounter | TW=The following areas in Icehaven are important to this encounter | CLAIM=The column then lists the settlement's important locations by name and numbers them as labelled sub-entries. | NOTE=Strict-exact, immediately after the arrival read-aloud. Five areas are listed by name (The Haven, The Harborline, Icebreaker Inn and Tavern, House of Warmth, Starosta's Manor) and then appear as numbe
